,mmsi,FID,source_id,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,position,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,dt_pos_utc,dt_static_utc,vessel_type_main,vessel_type_sub,message_type,eeid,dtg,geometry,index_right,PORT_NAME,COUNTRY,enter_time,exit_time,port_status,duration,next_port
0,431000836,1136c5e20240f3e278246b9d1e001973,114,9526851.0,KOUKA MARU,JD2844,Cargo,70,,A,68,11,Japan,431.0,JP UKB A NADA,10171600,3.3,POINT (135.25306 34.70366166666667),135.2531,34.7037,0.0,166.0,0.0,171,Not Defined,15,T-AIS,20211019000019,20211019000019,2021-10-19 00:00:19,2021-10-19 00:00:19,General Cargo Ship,,1,,2021-10-19T00:00:19,POINT (135.2531 34.7037),188.0,NISHINOMIYA,JP,2021-10-19 00:00:19,Docked,,Docked,None
0,431000840,6baeb98145a664537a3789310367ffa5,114,,NO65GENEIMARU,,Fishing,30,,B,0,0,Japan,431.0,,2460,0.0,POINT (141.53687666666667 40.52819),141.5369,40.5282,0.0,290.8,0.0,0,Unknown,16,T-AIS,20211019000003,20211019000003,2021-10-19 00:00:03,2021-10-19 00:00:03,,,18,,2021-10-19T00:00:03,POINT (141.5369 40.5282),60.0,HACHINOHE,JP,2021-10-19 00:00:03,Docked,,Docked,None
0,431000843,4e48f74882ee695ea038bbae909e64bf,114,,SHUN-EI,JD2809,Cargo,70,,B,63,10,Japan,431.0,,2460,0.0,POINT (135.260695 34.70095833333333),135.2607,34.701,0.0,253.5,0.0,0,Unknown,16,T-AIS,20211019000009,20211019000009,2021-10-19 00:00:09,2021-10-19 00:00:09,,,18,,2021-10-19T00:00:09,POINT (135.2607 34.701),188.0,NISHINOMIYA,JP,2021-10-19 00:00:09,Docked,,Docked,None
0,431000844,3d9a4a9b0c38a5279260c6daf9bc0f7c,114,8743232.0,ZUIKEI MARU,JD2870,Cargo,70,,A,72,12,Japan,431.0,>JP HIJ/DEJIMA-W,10171500,4.0,POINT (132.442375 34.35425333333333),132.4424,34.3543,0.0,144.9,0.0,61,Moored,5,T-AIS,20211019000014,20211019000014,2021-10-19 00:00:14,2021-10-19 00:00:14,General Cargo Ship,,3,,2021-10-19T00:00:14,POINT (132.4424 34.3543),7.0,HIROSHIMA,JP,2021-10-19 00:00:14,Docked,,Docked,None
0,431000846,95e23038458aa20c36fb99432a35cc6b,114,8743220.0,AIKOU MARU NO.28,JD2869,Cargo,72,"Carrying DG,HS or MP,IMO hazard or Pollutant Category Y",A,75,12,Japan,431.0,JP FKY OFF,10182130,4.0,POINT (133.4633 34.421231666666664),133.4633,34.4212,0.1,144.3,0.0,344,At Anchor,1,T-AIS,20211019000307,20211019000307,2021-10-19 00:03:07,2021-10-19 00:03:07,General Cargo Ship,,3,,2021-10-19T00:03:07,POINT (133.4633 34.4212),102.0,FUKUYAMA,JP,2021-10-19 00:03:07,Docked,,Docked,None
0,431000858,f414a309ab647edcb48bedc84ba0ba4c,114,,SHINEIMARU NO.15,JD2875,Cargo,70,,B,68,13,Japan,431.0,,2460,0.0,POINT (130.83094666666668 33.933836666666664),130.8309,33.9338,0.1,0.0,0.0,62,Unknown,16,T-AIS,20211019000007,20211019000007,2021-10-19 00:00:07,2021-10-19 00:00:07,,,18,,2021-10-19T00:00:07,POINT (130.8309 33.9338),106.0,HIBIKINADA,JP,2021-10-19 00:00:07,Docked,,Docked,None
0,431000866,4daa7a99fd5c3bf1a4022b76977de810,114,,NO5 YAOKIMARU,JD2883,Cargo,70,,A,59,10,Japan,431.0,>JP SBK,10171900,3.0,POINT (135.44529666666668 34.58454833333333),135.4453,34.5845,0.4,124.1,0.0,106,Under Way Using Engine,0,T-AIS,20211019000103,20211019000103,2021-10-19 00:01:03,2021-10-19 00:01:03,,,1,,2021-10-19T00:01:03,POINT (135.4453 34.5845),87.0,SAKAI-SENBOKU,JP,2021-10-19 00:01:03,Docked,,Docked,None
0,431000872,0e8c2b576ce66934b313be71f4878cd3,114,,YASUTAKA,JD2854,Cargo,70,,A,81,14,Japan,431.0,>JP MAI WM/OFF,10220100,4.0,POINT (131.23453833333335 33.945701666666665),131.2345,33.9457,0.0,267.3,0.0,171,Moored,5,T-AIS,20211019000159,20211019000159,2021-10-19 00:01:59,2021-10-19 00:01:59,Bulk Carrier,Cement Carrier,3,,2021-10-19T00:01:59,POINT (131.2345 33.9457),75.0,UBE,JP,2021-10-19 00:01:59,Docked,,Docked,None
0,431000902,26685d214e5aee3d07ca943204e2341a,114,,SHINSEI MARU,JD2901,Cargo,77,,B,77,13,Japan,431.0,,2460,0.0,POINT (132.52921166666667 34.229708333333335),132.5292,34.2297,0.1,125.8,0.0,347,Unknown,16,T-AIS,20211019000015,20211019000015,2021-10-19 00:00:15,2021-10-19 00:00:15,,,18,,2021-10-19T00:00:15,POINT (132.5292 34.2297),94.0,KURE,JP,2021-10-19 00:00:15,2021-10-19 00:52:27,,0 days 00:52:12,MITSUKOJIMA
1,431000902,308333d63ec7fefa47610dd4b483626b,114,,SHINSEI MARU,JD2901,Cargo,77,,B,77,13,Japan,431.0,,2460,0.0,POINT (132.515165 34.216555),132.5152,34.2166,8.5,213.7,0.0,213,Unknown,16,T-AIS,20211019005357,20211019005357,2021-10-19 00:53:57,2021-10-19 00:53:57,,,18,,2021-10-19T00:53:57,POINT (132.5152 34.2166),129.0,MITSUKOJIMA,JP,2021-10-19 00:53:57,Docked,In,Docked,None
